OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"11988",,,S99999999,S99999999,S92000003,"202011",,S99999999,"0",,100,,,0,,,,,S99999999,,,,,,"9",,,,,,,AB431AJ,AB43 1AJ,AB43 1AJ,,,S99999999,,,,,"1",
"11989",,,S99999999,S99999999,S92000003,"202402",,S99999999,"0",,100,,,0,,,,,S99999999,,,,,,"9",,,,,,,AB431AN,AB43 1AN,AB43 1AN,,,S99999999,,,,,"1",
"11990",,,S99999999,S99999999,S92000003,"202410",,S99999999,"0",,100,,,0,,,,,S99999999,,,,,,"9",,,,,,,AB431AP,AB43 1AP,AB43 1AP,,,S99999999,,,,,"1",
"16743",,,S99999999,S99999999,S92000003,"201906",,S99999999,"0",,100,,,0,,,,,S99999999,,,,,,"9",,,,,,,AB559AA,AB55 9AA,AB55 9AA,,,S99999999,,,,,"1",
"113435",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981GA,BD98 1GA,BD98 1GA,,,,,,,,"1",
"113436",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981GB,BD98 1GB,BD98 1GB,,,,,,,,"1",
"113437",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981GD,BD98 1GD,BD98 1GD,,,,,,,,"1",
"113438",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981GG,BD98 1GG,BD98 1GG,,,,,,,,"1",
"113439",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981YA,BD98 1YA,BD98 1YA,,,,,,,,"1",
"113440",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981YB,BD98 1YB,BD98 1YB,,,,,,,,"1",
"113441",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981YD,BD98 1YD,BD98 1YD,,,,,,,,"1",
"113442",,,,,E92000001,"200601",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD981YY,BD98 1YY,BD98 1YY,,,,,,,,"1",
"113443",,,,,E92000001,"200710",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD985GA,BD98 5GA,BD98 5GA,,,,,,,,"1",
"113444",,,,,E92000001,"200710",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD985GG,BD98 5GG,BD98 5GG,,,,,,,,"1",
"113445",,,,,E92000001,"200710",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD985YA,BD98 5YA,BD98 5YA,,,,,,,,"1",
"113446",,,,,E92000001,"200710",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BD985YY,BD98 5YY,BD98 5YY,,,,,,,,"1",
"161127",,,,,E92000001,"201001",,,"0",,100,,,0,,,,,,,,,,,"9",,,,,,,BN919AA,BN91 9AA,BN91 9AA,,,,,,,,"1",
"195755",,,,N99999999,N92000002,"199507",,N99999999,"0",,100,,,0,,,,,N99999999,,,,,,"9",ZB001,,,,,N99999999,BT1 1BT,BT1  1BT,BT1 1BT,,,N99999999,,,,,"1",
"195832",,,,N99999999,N92000002,"199507",,N99999999,"0",,100,,,0,,,,,N99999999,,,,,,"9",ZB001,,,,,N99999999,BT1 1TE,BT1  1TE,BT1 1TE,,,N99999999,,,,,"1",
"195856",,,,N99999999,N92000002,"200708",,N99999999,"0",,100,,,0,,,,,N99999999,,,,,,"9",ZB001,,,,,N99999999,BT1 2FP,BT1  2FP,BT1 2FP,,,N99999999,,,,,"1",
"195909",,,,N99999999,N92000002,"199612",,N99999999,"0",,100,,,0,,,,,N99999999,,,,,,"9",ZB001,,,,,N99999999,BT1 3AY,BT1  3AY,BT1 3AY,,,N99999999,,,,,"1",
