OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"500508",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5395317077637,E37000032,,-2.14926290512085,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389973","1",E18000005,E07000196,"0293528",E05015062,E04008969,E65000001,DY3 4AD,DY3  4AD,DY3 4AD,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500509",,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.540397644043,E37000032,,-2.15262794494629,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389745","1",E18000005,E07000196,"0293625",E05015062,E04008969,E65000001,DY3 4AE,DY3  4AE,DY3 4AE,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500510",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5409927368164,E37000032,,-2.15074300765991,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389873","1",E18000005,E07000196,"0293691",E05015062,E04008969,E65000001,DY3 4AF,DY3  4AF,DY3 4AF,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500511",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5417213439941,E37000032,,-2.1502730846405,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389905","1",E18000005,E07000196,"0293772",E05015062,E04008969,E65000001,DY3 4AG,DY3  4AG,DY3 4AG,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500512",,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5437393188477,E37000032,,-2.15632605552673,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389495","1",E18000005,E07000196,"0293997",E05015062,E04008969,E65000001,DY3 4AH,DY3  4AH,DY3 4AH,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500513",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5402412414551,E37000032,,-2.14788007736206,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"390067","1",E18000005,E07000196,"0293607",E05015062,E04008969,E65000001,DY3 4AJ,DY3  4AJ,DY3 4AJ,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500514",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5402488708496,E37000032,,-2.14487195014954,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"390271","1",E18000005,E07000196,"0293607",E05015062,E04008969,E65000001,DY3 4AL,DY3  4AL,DY3 4AL,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500515",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.5407485961914,E37000032,,-2.14618611335754,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"390182","1",E18000005,E07000196,"0293663",E05015062,E04008969,E65000001,DY3 4AN,DY3  4AN,DY3 4AN,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
"500516",E630,E35999999,E56000007,E58001366,E92000001,"200711",,E54000010,"16715",E07000196,52.5141868591309,E37000032,,-2.20328688621521,E01029645,E01029645,E02006186,E02006186,E40000011,E00151048,E00151048,8C1,E10000028,"386301","1",E18000005,E07000196,"0290718",E05015062,E04008979,E65000001,DY3 4AP,DY3  4AP,DY3 4AP,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022283
"500517",E630,E35999999,E56000007,E58001366,E92000001,"198001",,E54000010,"16715",E07000196,52.541805267334,E37000032,,-2.14949202537537,E01029645,E01029645,E02006186,E02006186,E40000011,E00151046,E00180715,1C2,E10000028,"389958","1",E18000005,E07000196,"0293781",E05015062,E04008969,E65000001,DY3 4AQ,DY3  4AQ,DY3 4AQ,E14001316,E23000015,E12000005,E1,RSN1,E38000153,E30000202,"0",E33022282
