OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"744486",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AD,IM1  1AD,IM1 1AD,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744487",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AE,IM1  1AE,IM1 1AE,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744488",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AF,IM1  1AF,IM1 1AF,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744489",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AG,IM1  1AG,IM1 1AG,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744490",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AH,IM1  1AH,IM1 1AH,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744491",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AJ,IM1  1AJ,IM1 1AJ,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744492",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AL,IM1  1AL,IM1 1AL,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744493",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AP,IM1  1AP,IM1 1AP,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744494",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AQ,IM1  1AQ,IM1 1AQ,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744495",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AR,IM1  1AR,IM1 1AR,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744496",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AT,IM1  1AT,IM1 1AT,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744497",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AW,IM1  1AW,IM1 1AW,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744498",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AX,IM1  1AX,IM1 1AX,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744499",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1AZ,IM1  1AZ,IM1 1AZ,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744500",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1BB,IM1  1BB,IM1 1BB,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744501",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1BD,IM1  1BD,IM1 1BD,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744502",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1BE,IM1  1BE,IM1 1BE,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744503",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1BF,IM1  1BF,IM1 1BF,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
"744504",M999,M99999999,M99999999,M99999999,M83000003,"199405",,M99999999,"0",M99999999,100,M99999999,M99999999,0,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,M99999999,9Z9,M99999999,,"9",M00000001,M99999999,,M99999999,M99999999,M99999999,IM1 1BG,IM1  1BG,IM1 1BG,M99999999,M99999999,M99999999,Z9,ZZZ9,M01000001,M99999999,"0",M99999999
