OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"545134",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"6339",S30000012,55.9764823913574,S99999999,,-3.59732294082642,S01013448,S01020836,S02002509,S02003843,S99999999,S00135013,S00180250,5B3,S99999999,"300418","1",S08000024,S12000040,"0677096",S13002820,S99999999,S99999999,EH497AD,EH49 7AD,EH49 7AD,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004204
"545154",S999,S99999999,S99999999,S99999999,S92000003,"201605",,S99999999,"6280",S30000012,55.9862899780273,S99999999,,-3.58150601387024,S01013452,S01020840,S02002509,S02003843,S99999999,S00133655,S00180202,1B2,S99999999,"301430","2",S08000024,S12000040,"0678165",S13002820,S99999999,S99999999,EH497BF,EH49 7BF,EH49 7BF,S14000068,S23000009,S99999999,"6",,S03000035,S22000070,"0",S34004262
"545170",S999,S99999999,S99999999,S99999999,S92000003,"202103",,S99999999,"6280",S30000012,55.9837913513184,S99999999,,-3.57806992530823,S01013452,S01020840,S02002509,S02003843,S99999999,S00133655,S00180206,1B2,S99999999,"301638","1",S08000024,S12000040,"0677882",S13002820,S99999999,S99999999,EH497DB,EH49 7DB,EH49 7DB,S14000068,S23000009,S99999999,"6",,S03000035,S22000070,"0",S34004262
"545171",S999,S99999999,S99999999,S99999999,S92000003,"202101",,S99999999,"6280",S30000012,55.984001159668,S99999999,,-3.57576990127563,S01013452,S01020840,S02002509,S02003843,S99999999,S00133655,S00180206,1B2,S99999999,"301782","1",S08000024,S12000040,"0677902",S13002820,S99999999,S99999999,EH497DD,EH49 7DD,EH49 7DD,S14000068,S23000009,S99999999,"6",,S03000035,S22000070,"0",S34004262
"545173",S999,S99999999,S99999999,S99999999,S92000003,"202010",,S99999999,"6280",S30000012,55.9834785461426,S99999999,,-3.57671093940735,S01013452,S01020840,S02002509,S02003843,S99999999,S00133655,S00180206,1B2,S99999999,"301722","1",S08000024,S12000040,"0677845",S13002820,S99999999,S99999999,EH497DF,EH49 7DF,EH49 7DF,S14000068,S23000009,S99999999,"6",,S03000035,S22000070,"0",S34004262
"545175",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"6339",S30000012,55.9764251708984,S99999999,,-3.59671211242676,S01013448,S01020836,S02002509,S02003843,S99999999,S00135013,S00180250,5B3,S99999999,"300456","1",S08000024,S12000040,"0677089",S13002820,S99999999,S99999999,EH497DH,EH49 7DH,EH49 7DH,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004204
"545198",S999,S99999999,S99999999,S99999999,S92000003,"200207",,S99999999,"6280",S30000012,55.9840660095215,S99999999,,-3.5792510509491,S01013452,S01020840,S02002509,S02003843,S99999999,S00134612,S00180207,6A2,S99999999,"301565","1",S08000024,S12000040,"0677914",S13002820,S99999999,S99999999,EH497GR,EH49 7GR,EH49 7GR,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004262
"545199",S999,S99999999,S99999999,S99999999,S92000003,"199302",,S99999999,"6280",S30000012,55.982250213623,S99999999,,-3.57718896865845,S01013452,S01020840,S02002509,S02003843,S99999999,S00134612,S00180207,6A2,S99999999,"301689","1",S08000024,S12000040,"0677709",S13002820,S99999999,S99999999,EH497HA,EH49 7HA,EH49 7HA,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004262
"545200",S999,S99999999,S99999999,S99999999,S92000003,"199606",,S99999999,"6339",S30000012,55.9772796630859,S99999999,,-3.59182691574097,S01013448,S01020836,S02002509,S02003843,S99999999,S00135013,S00180250,5B3,S99999999,"300763","1",S08000024,S12000040,"0677177",S13002820,S99999999,S99999999,EH497HB,EH49 7HB,EH49 7HB,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004204
"545201",S999,S99999999,S99999999,S99999999,S92000003,"199606",,S99999999,"6339",S30000012,55.9776268005371,S99999999,,-3.5913450717926,S01013448,S01020836,S02002509,S02003843,S99999999,S00135013,S00180250,5B3,S99999999,"300794","1",S08000024,S12000040,"0677215",S13002820,S99999999,S99999999,EH497HD,EH49 7HD,EH49 7HD,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004204
"545204",S999,S99999999,S99999999,S99999999,S92000003,"200601",,S99999999,"6339",S30000012,55.9809608459473,S99999999,,-3.59015107154846,S01013448,S01020836,S02002509,S02003843,S99999999,S00134563,S00180220,"7D4",S99999999,"300877","1",S08000024,S12000040,"0677584",S13002820,S99999999,S99999999,EH497HT,EH49 7HT,EH49 7HT,S14000068,S23000009,S99999999,"2",,S03000035,S22000070,"0",S34004272
