OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"275651",W450,W38000130,W99999999,W99999999,W92000004,"201406",,W99999999,"1164",W06000015,51.5292015075684,W99999999,,-3.10190010070801,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010623,5B3,W99999999,"323659","1",W11000029,W06000015,"0181719",W05001290,W04000888,W31000001,CF3 0UG,CF3  0UG,CF3 0UG,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"275653",W450,W38000130,W99999999,W99999999,W92000004,"200503",,W99999999,"1164",W06000015,51.5294609069824,W99999999,,-3.1020359992981,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010623,5B3,W99999999,"323650","1",W11000029,W06000015,"0181748",W05001290,W04000888,W31000001,CF3 0UJ,CF3  0UJ,CF3 0UJ,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"275662",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5219917297363,W99999999,,-3.11322903633118,W01001840,W01001840,W02000373,W02000373,W99999999,W00009483,W00009483,6B2,W99999999,"322861","1",W11000029,W06000015,"0180929",W05001290,W04000888,W31000001,CF3 1NR,CF3  1NR,CF3 1NR,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276119",W450,W38000130,W99999999,W99999999,W92000004,"200404",,W99999999,"618",W06000015,51.5196266174316,W99999999,,-3.11957097053528,W01001802,W01001802,W02000373,W02000373,W99999999,W00009299,W00009299,7A3,W99999999,"322417","1",W11000029,W06000015,"0180673",W05001285,W04001000,W31000001,CF3 4ZP,CF3  4ZP,CF3 4ZP,W07000089,W15000003,W99999999,C1,UN1,W11000029,W22000024,"1",W35000667
"276121",W450,W38000130,W99999999,W99999999,W92000004,"201904",,W99999999,"618",W06000015,51.5205764770508,W99999999,,-3.11901807785034,W01001802,W01001802,W02000373,W02000373,W99999999,W00009299,W00009299,7A3,W99999999,"322457","1",W11000029,W06000015,"0180778",W05001285,W04001000,W31000001,CF3 5AB,CF3  5AB,CF3 5AB,W07000089,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000667
"276123",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5270690917969,W99999999,,-3.11132001876831,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010623,5B3,W99999999,"323002","1",W11000029,W06000015,"0181492",W05001290,W04000888,W31000001,CF3 5BD,CF3  5BD,CF3 5BD,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"276124",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5284233093262,W99999999,,-3.10887289047241,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010623,5B3,W99999999,"323174","1",W11000029,W06000015,"0181640",W05001290,W04000888,W31000001,CF3 5DE,CF3  5DE,CF3 5DE,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"276125",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5276412963867,W99999999,,-3.11182403564453,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010645,5B3,W99999999,"322968","1",W11000029,W06000015,"0181556",W05001290,W04000888,W31000001,CF3 5DF,CF3  5DF,CF3 5DF,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"276127",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5289764404297,W99999999,,-3.10851192474365,W01001840,W01001840,W02000373,W02000373,W99999999,W00009481,W00009481,5A2,W99999999,"323200","1",W11000029,W06000015,"0181701",W05001290,W04000888,W31000001,CF3 5DH,CF3  5DH,CF3 5DH,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276128",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5293846130371,W99999999,,-3.11094403266907,W01001840,W01001840,W02000373,W02000373,W99999999,W00009481,W00009481,5A2,W99999999,"323032","1",W11000029,W06000015,"0181749",W05001290,W04000888,W31000001,CF3 5DJ,CF3  5DJ,CF3 5DJ,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276130",W450,W38000130,W99999999,W99999999,W92000004,"200206",,W99999999,"1164",W06000015,51.5304718017578,W99999999,,-3.10634303092957,W01001840,W01001840,W02000373,W02000373,W99999999,W00009477,W00010623,5B3,W99999999,"323353","1",W11000029,W06000015,"0181865",W05001290,W04000888,W31000001,CF3 5EA,CF3  5EA,CF3 5EA,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35000680
"276131",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5288429260254,W99999999,,-3.11117601394653,W01001840,W01001840,W02000373,W02000373,W99999999,W00009481,W00009481,5A2,W99999999,"323015","1",W11000029,W06000015,"0181689",W05001290,W04000888,W31000001,CF3 5ET,CF3  5ET,CF3 5ET,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276132",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5303115844727,W99999999,,-3.11085104942322,W01001840,W01001840,W02000373,W02000373,W99999999,W00009482,W00009482,5B3,W99999999,"323040","1",W11000029,W06000015,"0181852",W05001290,W04000888,W31000001,CF3 5EX,CF3  5EX,CF3 5EX,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276133",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5302581787109,W99999999,,-3.10995602607727,W01001840,W01001840,W02000373,W02000373,W99999999,W00009482,W00009482,5B3,W99999999,"323102","1",W11000029,W06000015,"0181845",W05001290,W04000888,W31000001,CF3 5EY,CF3  5EY,CF3 5EY,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
"276134",W450,W38000130,W99999999,W99999999,W92000004,"199906",,W99999999,"1164",W06000015,51.5303421020508,W99999999,,-3.1085889339447,W01001840,W01001840,W02000373,W02000373,W99999999,W00009482,W00009482,5B3,W99999999,"323197","1",W11000029,W06000015,"0181853",W05001290,W04000888,W31000001,CF3 5EZ,CF3  5EZ,CF3 5EZ,W07000090,W15000003,W99999999,C1,UN1,W11000029,W22000024,"0",W35002491
